group,lang,pathA,pathB,jaccardMasked,jaccardRaw
vs,zh,/vs/menu-vs-cafe,/vs/menu-vs-restaurant,0.465,0.411
vs,zh,/vs/de-vs-com,/vs/fr-vs-com,0.457,0.399
vs,zh,/vs/golf-vs-travel,/vs/surf-vs-travel,0.453,0.412
vs,zh,/vs/fr-vs-com,/vs/uk-vs-com,0.444,0.388
vs,zh,/vs/ee-vs-fi,/vs/lt-vs-ee,0.438,0.402
vs,zh,/vs/il-vs-com,/vs/ng-vs-com,0.426,0.364
vs,zh,/vs/shoes-vs-fashion,/vs/shoes-vs-store,0.422,0.385
vs,zh,/vs/es-vs-eu,/vs/pl-vs-eu,0.414,0.368
vs,zh,/vs/kaufen-vs-shop,/vs/tienda-vs-shop,0.411,0.361
vs,zh,/vs/ke-vs-ng,/vs/za-vs-ng,0.407,0.365
vs,zh,/vs/cz-vs-pl,/vs/ro-vs-pl,0.405,0.354
vs,zh,/vs/gr-vs-tr,/vs/tr-vs-ae,0.405,0.363
vs,zh,/vs/football-vs-team,/vs/hockey-vs-team,0.39,0.341
vs,zh,/vs/at-vs-de,/vs/ch-vs-de,0.387,0.334
vs,zh,/vs/kids-vs-baby,/vs/kids-vs-family,0.385,0.363
vs,zh,/vs/golf-vs-club,/vs/tennis-vs-club,0.384,0.335
vs,zh,/vs/ro-vs-pl,/vs/ua-vs-pl,0.381,0.352
vs,zh,/vs/dk-vs-se,/vs/fi-vs-se,0.376,0.331
vs,zh,/vs/ar-vs-cl,/vs/cl-vs-mx,0.374,0.336
vs,zh,/vs/br-vs-mx,/vs/br-vs-pt,0.372,0.343
vs,zh,/vs/hu-vs-cz,/vs/sk-vs-cz,0.367,0.32
vs,zh,/vs/au-vs-com,/vs/uk-vs-com,0.366,0.327
vs,zh,/vs/io-vs-co,/vs/io-vs-tech,0.363,0.324
vs,zh,/vs/be-vs-nl,/vs/nl-vs-de,0.361,0.335
vs,zh,/vs/br-vs-mx,/vs/cl-vs-mx,0.361,0.328
vs,zh,/vs/academy-vs-coach,/vs/fitness-vs-coach,0.361,0.332
vs,zh,/vs/care-vs-doctor,/vs/clinic-vs-care,0.358,0.323
vs,zh,/vs/au-vs-com,/vs/de-vs-com,0.35,0.312
vs,en,/vs/golf-vs-travel,/vs/surf-vs-travel,0.394,0.316
vs,en,/vs/golf-vs-club,/vs/tennis-vs-club,0.374,0.289
vs,en,/vs/id-vs-sg,/vs/ph-vs-sg,0.372,0.351
vs,en,/vs/shoes-vs-fashion,/vs/shoes-vs-store,0.363,0.333
vs,en,/vs/menu-vs-cafe,/vs/menu-vs-restaurant,0.355,0.352
vs,en,/vs/fr-vs-com,/vs/uk-vs-com,0.35,0.318
vs,en,/vs/quest-vs-fun,/vs/quest-vs-games,0.348,0.328
vs,en,/vs/ke-vs-ng,/vs/za-vs-ng,0.34,0.32
vs,en,/vs/kids-vs-baby,/vs/kids-vs-family,0.323,0.298
vs,en,/vs/cz-vs-pl,/vs/ro-vs-pl,0.322,0.349
vs,en,/vs/football-vs-team,/vs/hockey-vs-team,0.322,0.272
vs,en,/vs/kaufen-vs-shop,/vs/tienda-vs-shop,0.319,0.291
vs,en,/vs/ee-vs-fi,/vs/lt-vs-ee,0.315,0.325
vs,en,/vs/com-vs-org,/vs/info-vs-org,0.31,0.295
vs,en,/vs/gr-vs-tr,/vs/tr-vs-ae,0.303,0.282
vs,en,/vs/toys-vs-games,/vs/toys-vs-shop,0.297,0.288
vs,en,/vs/de-vs-com,/vs/uk-vs-com,0.297,0.341
vs,en,/vs/cz-vs-pl,/vs/ua-vs-pl,0.295,0.288
vs,en,/vs/hu-vs-cz,/vs/sk-vs-cz,0.294,0.269
vs,en,/vs/br-vs-mx,/vs/br-vs-pt,0.29,0.274
vs,en,/vs/academy-vs-coach,/vs/fitness-vs-coach,0.283,0.254
vs,en,/vs/br-vs-mx,/vs/cl-vs-mx,0.278,0.274
vs,en,/vs/de-vs-com,/vs/fr-vs-com,0.276,0.329
vs,en,/vs/id-vs-sg,/vs/vn-vs-id,0.271,0.244
vs,en,/vs/life-vs-me,/vs/me-vs-io,0.271,0.265
vs,en,/vs/fish-vs-fishing,/vs/fishing-vs-boats,0.27,0.244
vs,en,/vs/cz-vs-pl,/vs/sk-vs-cz,0.266,0.23
vs,en,/vs/day-vs-life,/vs/day-vs-today,0.266,0.255
vs,en,/vs/dad-vs-blog,/vs/reviews-vs-blog,0.263,0.24
vs,en,/vs/ro-vs-pl,/vs/ua-vs-pl,0.261,0.333
